Number,Technology,Material,Intensity,Year
27,Offshore,Aluminum,370,2012
1,Offshore,Aluminum,420,2007
66,Offshore,Aluminum,560,2018
69,Offshore,Aluminum,300,2019
69,Offshore,Aluminum,700,2019
69,Offshore,Aluminum,3100,2019
69,Offshore,Aluminum,5300,2019
78,Offshore,Aluminum,3000,2013
78,Offshore,Aluminum,260,2010
78,Offshore,Aluminum,1060,2010
78,Offshore,Aluminum,3930,2010
78,Offshore,Aluminum,2063,2019
78,Offshore,Boron,7,2017
78,Offshore,Chromium,450,2013
78,Offshore,Chromium,294,2015
78,Offshore,Chromium,372,2019
84,Offshore,Chromium,293.56,2015
27,Offshore,Copper,10000,2013
1,Offshore,Copper,2750,2007
11,Offshore,Copper,10000,2012
19,Offshore,Copper,2440,2013
19,Offshore,Copper,2514.285714,2013
19,Offshore,Copper,1566.666667,2013
19,Offshore,Copper,1570.833333,2013
19,Offshore,Copper,5560,2013
19,Offshore,Copper,5642.857143,2013
19,Offshore,Copper,4916.666667,2013
19,Offshore,Copper,4895.833333,2013
19,Offshore,Copper,2520,2013
19,Offshore,Copper,3057.142857,2013
19,Offshore,Copper,891.6666667,2013
19,Offshore,Copper,1066.666667,2013
45,Offshore,Copper,4000,2016
62,Offshore,Copper,1143,2012
62,Offshore,Copper,10000,2013
69,Offshore,Copper,1800,2019
69,Offshore,Copper,2000,2019
69,Offshore,Copper,4800,2019
69,Offshore,Copper,5900,2019
78,Offshore,Copper,20000,2013
78,Offshore,Copper,11500,2012
78,Offshore,Copper,4500,2016
78,Offshore,Copper,1484,2015
78,Offshore,Copper,9371,2019
66,Offshore,Copper,11500,2018
66,Offshore,Copper,15800,2018
84,Offshore,Copper,1484,2015
27,Offshore,Dysprosium,22,2011
52,Offshore,Dysprosium,33,2013
13,Offshore,Dysprosium,22,2010
78,Offshore,Dysprosium,3,2013
78,Offshore,Dysprosium,25,2017
78,Offshore,Dysprosium,10,2016
78,Offshore,Dysprosium,24,2013
78,Offshore,Dysprosium,28,2013
78,Offshore,Dysprosium,10,2016
78,Offshore,Dysprosium,13,2016
78,Offshore,Dysprosium,14,2016
78,Offshore,Dysprosium,13,2015
78,Offshore,Dysprosium,13,2016
78,Offshore,Dysprosium,18,2011
78,Offshore,Dysprosium,22,2015
78,Offshore,Dysprosium,16,2019
66,Offshore,Dysprosium,4.86,2018
66,Offshore,Dysprosium,14.58,2018
84,Offshore,Dysprosium,21.56,2015
27,Offshore,Lead,6720,2013
1,Offshore,Lead,3790,2007
13,Offshore,Lead,6720,2000
84,Offshore,Molybdenum,75.315,2015
27,Offshore,Neodymium,124,2011
1,Offshore,Neodymium,150,2006
52,Offshore,Neodymium,186,2011
13,Offshore,Neodymium,124,2010
62,Offshore,Neodymium,119,2012
62,Offshore,Neodymium,198,2015
72,Offshore,Neodymium,175.5,2018
72,Offshore,Neodymium,162.4,2013
