Number,Technology,Material,Intensity,Year
78,CIGS,Gallium,5,2000
78,CIGS,Indium,27,2000
78,CIGS,Selenium,45,2000
66,a-Si,Germanium,6.9,2000
66,CdTe,Cadmium,63.3,2000
78,CdTe,Cadmium,63,2000
78,CdTe,Tellurium,63,2000
99,CIGS,Indium,25,2000
99,CIGS,Indium,30,2000
99,CIGS,Indium,40,2000
103,Not defined,Tellurium,100,2005
103,CdTe,Tellurium,260,2007
103,CdTe,Tellurium,500,2007
38,CIGS,Indium,6.3,2008
38,CIGS,Indium,8,2008
38,CIGS,Indium,11,2008
110=85,CIGS,Indium,83,2008
110=85,a-Si,Germanium,73,2008
110=85,CdTe,Tellurium,176,2008
85,CdTe,Tellurium,176,2008
85,CIGS,Indium,83,2008
85,a-Si,Germanium,73,2008
66,a-Si,Germanium,42,2009
66,CdTe,Tellurium,55,2009
46,CIGS,Gallium,6,2010
46,CIGS,Gallium,8,2010
46,CIGS,Gallium,11,2010
78,CIGS,Gallium,8,2010
46,CIGS,Indium,23,2010
46,CIGS,Indium,29,2010
46,CIGS,Indium,43,2010
78,CIGS,Indium,23,2010
129,CIGS,Indium,83,2010
46,CIGS,Selenium,48,2010
46,CIGS,Selenium,67,2010
46,CIGS,Selenium,107,2010
78,CIGS,Selenium,45,2010
46,a-Si,Germanium,73,2010
129,a-Si,Germanium,73,2010
67,CdTe,Cadmium,85,2010
66,CdTe,Cadmium,85,2010
46,CdTe,Cadmium,79,2010
46,CdTe,Cadmium,89,2010
46,CdTe,Cadmium,116,2010
78,CdTe,Cadmium,85,2010
66,CdTe,Copper,42.8,2010
67,CdTe,Tellurium,97.5,2010
66,CdTe,Tellurium,97.5,2010
46,CdTe,Tellurium,89,2010
46,CdTe,Tellurium,101,2010
46,CdTe,Tellurium,132,2010
78,CdTe,Tellurium,98,2010
103,CdTe,Tellurium,120,2010
129,CdTe,Tellurium,106,2010
52,c-Si,Silver,84,2010
78,Not defined,Aluminum,23000,2010
78,Not defined,Aluminum,32000,2010
78,Not defined,Aluminum,59000,2010
67,Not defined,Aluminum,32000,2010
99,CIGS,Indium,24.1,2010
99,CIGS,Indium,29,2010
99,CIGS,Indium,39.1,2010
45,CIGS,Indium,83,2010
77,CIGS,Gadium,2.3-19.7,2011
35,CIGS,Gallium,7.2,2011
78,CIGS,Gallium,12,2011
78,CIGS,Gallium,29,2011
35,CIGS,Indium,55.5,2011
78,CIGS,Indium,15,2011
78,CIGS,Indium,23,2011
66,a-Si,Germanium,3.4,2011
66,CdTe,Cadmium,49.2,2011
35,CdTe,Indium,15.5,2011
66,CdTe,Molybdenum,100.5,2011
35,CdTe,Tellurium,99.7,2011
66,CdTe,Tellurium,47.2,2011
78,CdTe,Tellurium,17,2011
78,CdTe,Tellurium,74,2011
66,CdTe,Tin,6.6,2011
103,Not defined,Tellurium,91,2011
67,CIGS,Gallium,7.5,2012
78,CIGS,Gallium,8,2012
67,CIGS,Indium,23,2012
78,CIGS,Indium,83,2012
78,CIGS,Indium,23,2012
78,CdTe,Tellurium,106,2012
78,CdTe,Tellurium,69,2012
59,c-Si,Silver,10,2012
35,CIGS,Cadmium,1.3,2013
15,CIGS,Copper,21.02,2013
15,CIGS,Gadium,2.34,2013
78,CIGS,Gallium,0.12,2013
86,CIGS,Gallium,4.0-20,2013
86,CIGS,Gallium,6.7,2013
15,CIGS,Indium,18.99,2013
15,CIGS,Indium,9.56,2013
78,CIGS,Indium,5,2013
86,CIGS,Indium,16.5-110,2013
86,CIGS,Indium,16.3,2013
35,CIGS,Selenium,39.3,2013
122,CIGS,Gallium,7.5,2013
122,CIGS,Gallium,2.34,2013
122,CIGS,Selenium,45,2013
122,CIGS,Selenium,9.56,2013
122,CIGS,Indium,22.5,2013
122,CIGS,Indium,18.99,2013
77,a-Si,Germanium,73,2013
66,a-Si,Germanium,6.9,2013
15,a-Si,Indium,5.32,2013
15,a-Si,Tin,0.714,2013
35,CdTe,Cadmium,116.7,2013
66,CdTe,Cadmium,63.3,2013
78,CdTe,Cadmium,6,2013
78,CdTe,Copper,1000,2013
